Division,Pld,W,D,L,GF,GA,Pts,Pos,Cup[1],Sup.,LC,CL[3],UC[4],CW,IC,SC[5],CWC[6],Player(s),Goals,season
La Liga,38,15,11,12,53,46,56,5th,R32,,,,W,,,,, Radamel Falcao,36,2011–12
La Liga,38,23,7,8,65,31,76,3rd,W,,,,R32,,,W,, Radamel Falcao,34,2012–13
La Liga,38,28,6,4,77,26,90,W,SF,RU,,RU,,,,,, Diego Costa,36,2013–14
La Liga,38,23,9,6,67,29,78,3rd,QF,W,,QF,,,,,, Antoine Griezmann,25,2014–15
La Liga,38,28,4,6,63,18,88,3rd,QF,,,RU,,,,,, Antoine Griezmann,32,2015–16
La Liga,38,23,9,6,70,27,78,3rd,SF,,,SF,,,,,, Antoine Griezmann,26,2016–17
La Liga,38,23,10,5,58,22,79,2nd,QF,,,GS,W,,,,, Antoine Griezmann,29,2017–18
La Liga,38,22,10,6,55,29,76,2nd,R16,,,R16,,,,W,, Antoine Griezmann,21,2018–19
La Liga,38,18,16,4,51,27,70,3rd,R32,RU,,QF,,,,,, Álvaro Morata,16,2019–20
La Liga,38,26,8,4,67,25,86,W,2R,,,R16,,,,,, Luis Suárez,21,2020–21
La Liga,38,21,8,9,65,43,71,3rd,R16,SF,,QF,,,,,, Ángel Correa Luis Suárez,13,2021–22
La Liga,38,23,8,7,70,33,77,3rd,QF,,,GS,,,,,, Antoine Griezmann,16,2022–23
La Liga,38,24,4,10,70,43,76,4th,SF,SF,,QF,,,,,, Antoine Griezmann,24,2023–24
