season,stage,played,win,draw,lose
2023/24,Quarter-finals,10,5,3,2
2022/23,Group stage,6,1,2,3
2021/22,Quarter-finals,10,3,3,4
2020/21,Round of 16,8,2,3,3
2019/20,Quarter-finals,9,4,1,4
2018/19,Round of 16,8,5,1,2
2017/18,Group stage,6,1,4,1
2016/17,Semi-finals,12,8,2,2
2015/16,Final,13,6,4,3
2014/15,Quarter-finals,10,4,3,3
2013/14,Final,13,9,3,1
2009/10,Group stage,8,2,3,3
2008/09,Round of 16,10,4,5,1
1996/97,Quarter-finals,8,4,3,1
1977/78,Quarter-finals,6,3,1,2
1973/74,Final,10,3,6,1
1970/71,Semi-finals,8,5,0,3
1966/67,Second round,5,3,0,2
1958/59,Semi-finals,10,6,1,3
