Season	League	League	League Level	W	D	L	Goals	+/-	Points	Rank	Manager
24/25	LaLiga	LaLiga	First Tier	1	0	0	2:1	1	3	1	Hansi Flick
23/24	LaLiga	LaLiga	First Tier	26	7	5	79:44	35	85	2	Xavi
22/23	LaLiga	LaLiga	First Tier	28	4	6	70:20	50	88	1	Xavi
21/22	LaLiga	LaLiga	First Tier	21	10	7	68:38	30	73	2	Xavi
20/21	LaLiga	LaLiga	First Tier	24	7	7	85:38	47	79	3	Ronald Koeman
19/20	LaLiga	LaLiga	First Tier	25	7	6	86:38	48	82	2	Quique Setién
18/19	LaLiga	LaLiga	First Tier	26	9	3	90:36	54	87	1	Ernesto Valverde
17/18	LaLiga	LaLiga	First Tier	28	9	1	99:29	70	93	1	Ernesto Valverde
16/17	LaLiga	LaLiga	First Tier	28	6	4	116:37	79	90	2	Luis Enrique
15/16	LaLiga	LaLiga	First Tier	29	4	5	112:29	83	91	1	Luis Enrique
14/15	LaLiga	LaLiga	First Tier	30	4	4	110:21	89	94	1	Luis Enrique
13/14	LaLiga	LaLiga	First Tier	27	6	5	100:33	67	87	2	Gerardo Martino
12/13	LaLiga	LaLiga	First Tier	32	4	2	115:40	75	100	1	Tito Vilanova
11/12	LaLiga	LaLiga	First Tier	28	7	3	114:29	85	91	2	Pep Guardiola
10/11	LaLiga	LaLiga	First Tier	30	6	2	95:21	74	96	1	Pep Guardiola
09/10	LaLiga	LaLiga	First Tier	31	6	1	98:24	74	99	1	Pep Guardiola
08/09	LaLiga	LaLiga	First Tier	27	6	5	105:35	70	87	1	Pep Guardiola
07/08	LaLiga	LaLiga	First Tier	19	10	9	76:43	33	67	3	Frank Rijkaard
06/07	LaLiga	LaLiga	First Tier	22	10	6	78:33	45	76	2	Frank Rijkaard
05/06	LaLiga	LaLiga	First Tier	25	7	6	80:35	45	82	1	Frank Rijkaard
04/05	LaLiga	LaLiga	First Tier	25	9	4	73:29	44	84	1	Frank Rijkaard
03/04	LaLiga	LaLiga	First Tier	21	9	8	63:39	24	72	2	Frank Rijkaard
02/03	LaLiga	LaLiga	First Tier	15	11	12	63:47	16	56	6	Radomir Antić
01/02	LaLiga	LaLiga	First Tier	18	10	10	65:37	28	64	4	Carles Rexach
00/01	LaLiga	LaLiga	First Tier	17	12	9	80:57	23	63	4	Carles Rexach
99/00	LaLiga	LaLiga	First Tier	19	7	12	70:46	24	64	2	Louis van Gaal
98/99	LaLiga	LaLiga	First Tier	24	7	7	87:43	44	79	1	Louis van Gaal
97/98	LaLiga	LaLiga	First Tier	23	5	10	78:56	22	74	1	Louis van Gaal
96/97	LaLiga	LaLiga	First Tier	28	6	8	102:48	54	90	2	Sir Bobby Robson
95/96	LaLiga	LaLiga	First Tier	22	14	6	72:39	33	80	3	Carles Rexach
94/95	LaLiga	LaLiga	First Tier	18	10	10	60:45	15	46:30	4	Johan Cruyff
93/94	LaLiga	LaLiga	First Tier	25	6	7	91:42	49	56:20	1	Johan Cruyff
92/93	LaLiga	LaLiga	First Tier	25	8	5	87:34	53	58:18	1	Johan Cruyff
91/92	LaLiga	LaLiga	First Tier	23	9	6	87:37	50	55:21	1	Johan Cruyff
90/91	LaLiga	LaLiga	First Tier	25	7	6	74:33	41	57:19	1	Johan Cruyff
